model,num_queries,mrr,avg_embedding_ms,avg_retrieval_ms,avg_total_ms,recall@1,recall@5,recall@10,recall@15,precision@1,precision@5,pre>ByT5,1500,0.0003,1.42,285.59,287.01,0.0000,0.0003,0.0010,0.0010,0.0000,0.0001,0.0001,0.0001
Canine,1500,0.0269,0.53,226.14,226.68,0.0140,0.0359,0.0471,0.0570,0.0153,0.0085,0.0056,0.0044
BPE-LSTM-Trained,1500,0.0014,0.05,39.39,39.44,0.0010,0.0010,0.0010,0.0017,0.0013,0.0003,0.0001,0.0001
BPE-Transformer-Trained,1500,0.0015,0.04,38.23,38.27,0.0010,0.0013,0.0013,0.0020,0.0013,0.0004,0.0002,0.0002
BPE-Pretrained,1500,0.0074,0.29,226.10,226.39,0.0026,0.0082,0.0114,0.0153,0.0040,0.0023,0.0015,0.0014
BERT-MiniLM,1500,0.5142,0.12,90.09,90.22,0.3104,0.6924,0.8077,0.8689,0.3520,0.1624,0.0963,0.0697
